indicator,image
attentive,502
over time,503
attentive,505
attentive,506
attentive,507
attentive,508
attentive,509
over time,511
attentive,512
attentive,513
attentive,514
over time,515
attentive,516
over time,517
over time,518
attentive,519
error-no over time,520
attentive,521
attentive,522
attentive,523
attentive,524
over time,525
attentive,526
attentive,527
attentive,528
attentive,529
attentive,530
attentive,531
over time,532
attentive,533
attentive,534
attentive,535
attentive,536
attentive,537
attentive,538
attentive,539
attentive,540
error-over time,541
over time,542
over time,543
attentive,544
over time,545
attentive,546
over time,547
attentive,548
attentive,549
attentive,550
attentive,551
attentive,552
over time,553
attentive,554
attentive,555
attentive,556
attentive,557
attentive,558
over time,559
attentive,560
attentive,561
error-over time,562
attentive,563
attentive,564
attentive,565
attentive,566
over time,567
over time,568
attentive,569
attentive,570
attentive,571
attentive,572
attentive,573
attentive,574
over time,575
attentive,576
over time,577
over time,578
attentive,579
over time,580
over time,581
over time,582
attentive,583
over time,584
over time,585
over time,588
attentive,589
attentive,590
attentive,592
attentive,593
attentive,594
attentive,595
over time,596
over time,597
over time,598
attentive,599
attentive,600
attentive,601
over time,602
over time,603
attentive,604
attentive,605
over time,606
attentive,607
attentive,608
attentive,609
attentive,610
attentive,611
attentive,612
attentive,613
over time,614
over time,615
attentive,617
over time,618
attentive,619
over time,620
attentive,621
over time,623
attentive,624
attentive,625
over time,626
attentive,627
error-no over time,628
attentive,629
over time,630
attentive,631
attentive,632
attentive,633
attentive,634
over time,635
over time,636
attentive,637
over time,638
attentive,639
attentive,640
attentive,641
over time,642
attentive,643
attentive,644
attentive,645
error-no over time,646
over time,647
attentive,648
attentive,649
attentive,650
attentive,652
attentive,653
attentive,654
attentive,655
error-no over time,656
attentive,657
attentive,658
attentive,659
attentive,660
attentive,661
over time,662
attentive,663
over time,664
attentive,665
attentive,666
attentive,667
attentive,668
over time,669
attentive,670
attentive,671
attentive,672
over time,673
attentive,674
attentive,675
attentive,676
attentive,677
over time,678
attentive,679
attentive,680
over time,681
attentive,682
error-over time,683
attentive,684
attentive,685
attentive,686
over time,687
attentive,688
attentive,689
attentive,691
attentive,692
attentive,693
attentive,694
attentive,695
over time,696
attentive,697
attentive,698
attentive,699
over time,700
attentive,701
over time,702
attentive,703
attentive,704
attentive,705
attentive,706
attentive,707
attentive,708
attentive,709
attentive,710
attentive,711
attentive,712
attentive,713
over time,715
attentive,716
over time,717
attentive,718
attentive,719
attentive,720
attentive,721
attentive,722
attentive,723
over time,724
attentive,725
attentive,726
attentive,727
over time,728
attentive,729
attentive,730
attentive,731
attentive,732
over time,733
attentive,734
attentive,735
over time,736
attentive,738
attentive,739
attentive,740
attentive,741
attentive,742
attentive,743
attentive,744
over time,745
attentive,746
attentive,747
over time,748
over time,749
attentive,750
attentive,751
over time,752
attentive,753
over time,754
over time,755
attentive,756
attentive,757
over time,758
attentive,759
attentive,760
over time,761
attentive,762
over time,763
attentive,764
over time,765
over time,766
attentive,767
over time,768
attentive,769
over time,770
attentive,772
over time,773
attentive,774
attentive,777
error-no over time,778
attentive,779
attentive,780
attentive,781
over time,782
attentive,783
attentive,784
over time,786
attentive,787
over time,788
attentive,790
over time,791
attentive,792
attentive,793
attentive,794
attentive,795
over time,796
attentive,798
over time,799
attentive,800
attentive,801
over time,802
attentive,803
attentive,806
over time,807
attentive,808
error-no over time,809
attentive,812
over time,813
over time,815
over time,816
over time,817
attentive,818
attentive,819
attentive,820
attentive,821
attentive,822
attentive,823
over time,824
attentive,825
attentive,826
over time,827
attentive,828
attentive,829
over time,830
attentive,831
attentive,832
attentive,833
over time,834
over time,835
attentive,836
attentive,837
attentive,838
attentive,839
attentive,840
over time,841
attentive,842
attentive,843
attentive,844
attentive,845
attentive,846
attentive,847
attentive,848
attentive,849
attentive,850
over time,851
attentive,852
over time,853
attentive,854
attentive,855
attentive,856
attentive,857
attentive,858
over time,859
attentive,860
over time,861
attentive,862
attentive,863
attentive,864
error-no over time,865
over time,866
attentive,867
attentive,868
over time,869
attentive,870
attentive,871
attentive,872
over time,873
attentive,874
attentive,875
attentive,876
attentive,877
over time,878
attentive,879
attentive,880
over time,881
attentive,882
attentive,883
attentive,884
attentive,885
over time,886
over time,887
attentive,888
over time,889
attentive,890
attentive,891
attentive,892
error-no over time,893
attentive,894
attentive,895
attentive,896
attentive,897
attentive,898
over time,899
over time,900
attentive,901
attentive,902
over time,903
attentive,904
attentive,905
attentive,906
attentive,907
over time,908
attentive,909
attentive,910
attentive,911
attentive,912
over time,913
attentive,914
over time,915
attentive,916
over time,917
attentive,918
attentive,919
attentive,920
attentive,921
attentive,922
over time,923
attentive,924
over time,925
attentive,926
attentive,927
attentive,928
attentive,929
attentive,930
attentive,931
attentive,932
attentive,933
error-no over time,934
over time,935
attentive,936
over time,937
over time,938
over time,940
over time,941
over time,942
over time,943
attentive,944
attentive,945
attentive,946
over time,947
attentive,948
attentive,949
attentive,950
attentive,951
over time,952
attentive,953
attentive,954
over time,955
attentive,956
attentive,957
attentive,958
attentive,959
attentive,960
over time,961
