indicator,image
attentive,711
attentive,712
over time,713
attentive,714
attentive,715
attentive,716
over time,717
attentive,718
over time,719
attentive,722
attentive,723
over time,724
attentive,725
attentive,726
over time,727
over time,729
over time,730
attentive,731
attentive,732
attentive,733
attentive,735
attentive,736
over time,737
attentive,738
attentive,739
attentive,740
attentive,741
attentive,743
attentive,744
attentive,745
attentive,746
over time,747
over time,748
attentive,749
error-over time,750
attentive,751
attentive,752
over time,753
over time,754
over time,755
over time,757
attentive,758
attentive,759
attentive,760
over time,761
attentive,762
attentive,763
attentive,764
attentive,765
attentive,766
attentive,767
attentive,768
over time,769
attentive,770
attentive,771
attentive,772
attentive,773
attentive,774
attentive,775
attentive,776
attentive,777
over time,778
attentive,779
over time,780
attentive,781
attentive,782
attentive,783
attentive,784
over time,785
attentive,786
attentive,787
attentive,788
over time,789
attentive,790
attentive,791
attentive,792
attentive,793
attentive,794
attentive,795
attentive,796
attentive,797
attentive,798
over time,799
over time,800
attentive,801
attentive,802
attentive,803
attentive,804
attentive,805
over time,806
over time,807
attentive,808
attentive,809
attentive,810
attentive,811
attentive,812
attentive,813
over time,814
attentive,815
attentive,816
attentive,817
attentive,818
over time,819
attentive,820
attentive,821
attentive,822
attentive,823
attentive,824
attentive,825
attentive,826
over time,827
over time,828
attentive,829
over time,830
over time,831
over time,832
over time,833
over time,834
attentive,835
attentive,836
attentive,837
attentive,838
attentive,839
attentive,840
attentive,841
attentive,842
attentive,843
attentive,844
attentive,845
attentive,847
attentive,848
over time,849
attentive,850
attentive,851
over time,852
attentive,854
attentive,855
attentive,856
attentive,857
attentive,858
attentive,859
attentive,860
attentive,861
over time,862
attentive,863
attentive,864
attentive,865
attentive,866
attentive,867
attentive,868
attentive,870
attentive,871
attentive,872
over time,873
attentive,874
attentive,875
attentive,876
over time,877
over time,878
attentive,879
attentive,880
over time,881
attentive,882
attentive,883
attentive,884
attentive,885
attentive,886
attentive,887
attentive,888
attentive,889
attentive,890
attentive,891
over time,892
attentive,893
over time,894
attentive,895
error-no over time,896
attentive,897
over time,898
over time,899
attentive,900
error-no over time,901
attentive,902
attentive,903
attentive,904
over time,905
attentive,906
attentive,907
attentive,908
attentive,909
attentive,910
attentive,911
attentive,912
attentive,913
attentive,915
attentive,916
attentive,917
over time,918
attentive,919
attentive,920
attentive,921
attentive,922
attentive,923
over time,925
attentive,926
attentive,927
attentive,928
attentive,929
over time,930
attentive,932
attentive,933
attentive,934
attentive,936
attentive,938
attentive,939
attentive,940
over time,941
over time,943
attentive,944
over time,945
attentive,946
over time,947
attentive,948
attentive,949
attentive,950
attentive,951
attentive,953
attentive,954
over time,955
attentive,956
attentive,957
attentive,958
attentive,959
attentive,960
attentive,961
over time,962
over time,963
attentive,964
attentive,965
over time,966
attentive,967
error-no over time,968
attentive,969
over time,970
attentive,971
over time,972
attentive,973
over time,974
attentive,975
attentive,976
over time,977
attentive,978
attentive,979
attentive,980
attentive,981
over time,982
over time,983
attentive,984
attentive,985
attentive,986
attentive,987
attentive,988
over time,989
attentive,990
attentive,991
attentive,992
attentive,993
attentive,994
attentive,996
attentive,997
attentive,998
attentive,999
attentive,1000
attentive,1001
attentive,1002
attentive,1003
attentive,1004
attentive,1005
attentive,1006
attentive,1007
attentive,1008
over time,1009
attentive,1011
attentive,1012
attentive,1013
attentive,1014
attentive,1015
over time,1016
attentive,1017
over time,1018
attentive,1019
attentive,1020
attentive,1021
over time,1022
over time,1023
attentive,1024
attentive,1025
attentive,1026
over time,1027
attentive,1028
attentive,1029
over time,1030
over time,1031
attentive,1032
attentive,1033
attentive,1034
attentive,1035
attentive,1036
attentive,1037
attentive,1038
attentive,1039
attentive,1041
attentive,1042
over time,1044
attentive,1045
attentive,1046
attentive,1047
over time,1049
over time,1051
attentive,1052
attentive,1053
attentive,1054
over time,1055
over time,1056
attentive,1057
attentive,1058
attentive,1059
attentive,1060
over time,1061
attentive,1063
attentive,1064
over time,1065
attentive,1067
attentive,1068
error-no over time,1069
attentive,1070
attentive,1071
attentive,1072
attentive,1073
attentive,1074
attentive,1075
over time,1077
over time,1078
over time,1079
attentive,1080
attentive,1081
error-over time,1082
attentive,1083
attentive,1084
error-over time,1085
